workerId	retainerRateDollars	retainerMillis	postTime	startTime
A3SX229VS1X6B6	0.50000	600000	2017-03-15 16:24:38	2017-03-15 16:24:55
A3PPRVK6XK6GP5	0.50000	600000	2017-03-16 03:36:08	2017-03-16 04:02:56
A3DY78Q4FCWTXX	0.50000	600000	2017-03-16 12:36:28	2017-03-16 12:36:54
A3D2SUT0WZXWH2	0.50000	600000	2017-03-17 14:32:48	2017-03-17 14:42:15
AXLMOFXKXSU0B	0.50000	600000	2017-03-19 09:25:08	2017-03-19 09:25:44
A3PPRVK6XK6GP5	0.50000	600000	2017-03-20 03:11:58	2017-03-20 03:14:05
A84CCUCRPOOJ8	0.15000	600000	2016-10-18 17:49:51	2016-10-18 17:53:05
A3POLV08XTYAMD	0.50000	600000	2016-12-31 14:51:52	2016-12-31 14:52:09
A1C4Z1S9A2DD45	0.15000	600000	2016-12-01 14:27:06	2016-12-01 14:27:25
A142ZRU284W9O	0.15000	600000	2016-12-02 21:14:23	2016-12-02 21:15:31
A1C4Z1S9A2DD45	0.15000	600000	2016-12-09 20:41:10	2016-12-09 20:45:30
A2EOOF9D135HQ1	0.15000	600000	2016-12-10 21:45:40	2016-12-10 21:57:14
A3D2SUT0WZXWH2	0.50000	600000	2016-12-12 08:20:08	2016-12-12 08:22:49
A3SX229VS1X6B6	0.50000	600000	2017-03-02 19:59:42	2017-03-02 20:00:11
A13XXMDHOULEZ7	0.50000	600000	2017-02-03 12:10:21	2017-02-03 12:10:42
A12LSQUVWIJVMV	0.50000	600000	2017-02-04 14:50:43	2017-02-04 14:51:11
AAWX7QFQUNM6D	0.50000	600000	2017-03-14 08:49:38	2017-03-14 08:59:18
A1DABMXVWWL0TR	0.50000	600000	2017-03-15 16:02:39	2017-03-15 16:06:49
A2EOOF9D135HQ1	0.50000	600000	2017-03-19 18:43:38	2017-03-19 18:43:54
A2EOOF9D135HQ1	0.50000	600000	2017-03-19 18:51:09	2017-03-19 18:54:14
AXLMOFXKXSU0B	0.50000	600000	2017-03-20 09:13:08	2017-03-20 09:17:24
AAWX7QFQUNM6D	0.50000	600000	2017-03-21 06:46:08	2017-03-21 06:54:25
AXLMOFXKXSU0B	0.50000	600000	2017-03-23 10:13:58	2017-03-23 10:14:59
A1TW60NCALLP12	0.15000	600000	2016-11-09 10:07:57	2016-11-09 10:21:34
A2HM35CWB7IIFM	0.15000	600000	2016-11-18 05:01:59	2016-11-18 05:02:34
A3HMDGRGC5JB7E	0.15000	600000	2016-12-01 23:10:20	2016-12-01 23:25:36
A142ZRU284W9O	0.15000	600000	2016-12-09 23:11:51	2016-12-09 23:28:21
A2EOOF9D135HQ1	0.50000	600000	2017-02-13 03:37:48	2017-02-13 03:38:05
A3D2SUT0WZXWH2	0.50000	600000	2017-03-02 08:52:39	2017-03-02 09:01:53
AXLMOFXKXSU0B	0.50000	600000	2017-03-03 19:30:23	2017-03-03 19:38:35
AXLMOFXKXSU0B	0.50000	600000	2017-03-04 17:09:37	2017-03-04 17:10:40
A3ENNVSWZIXWDG	0.50000	600000	2017-03-05 06:17:16	2017-03-05 06:17:45
AXLMOFXKXSU0B	0.50000	600000	2017-03-08 12:30:18	2017-03-08 12:30:45
A2TY9UFU76QU6K	0.50000	600000	2017-03-09 08:18:08	2017-03-09 08:20:55
A2EOOF9D135HQ1	0.50000	600000	2017-03-19 01:30:58	2017-03-19 01:34:09
A13XXMDHOULEZ7	0.50000	600000	2017-03-24 05:18:08	2017-03-24 05:19:30
A2TY9UFU76QU6K	0.50000	600000	2017-03-24 06:36:48	2017-03-24 06:45:36
A1ZZINLCZZYOH4	0.15000	600000	2016-10-09 05:45:54	2016-10-09 05:57:28
A27GZN1JOOIAUW	0.15000	600000	2016-12-06 08:48:49	2016-12-06 09:05:41
AXLMOFXKXSU0B	0.50000	600000	2016-12-13 11:28:00	2016-12-13 11:31:13
A109CH3492UU42	0.50000	600000	2017-01-13 02:18:46	2017-01-13 02:19:03
A3PPRVK6XK6GP5	0.50000	600000	2017-02-08 18:17:39	2017-02-08 18:18:00
A27GZN1JOOIAUW	0.50000	600000	2017-02-09 15:21:29	2017-02-09 15:22:00
A2TY9UFU76QU6K	0.50000	600000	2017-03-04 21:34:26	2017-03-04 21:35:24
A13XXMDHOULEZ7	0.50000	600000	2017-03-06 08:52:57	2017-03-06 08:53:29
AAWX7QFQUNM6D	0.50000	600000	2017-03-09 05:58:59	2017-03-09 05:59:58
A3SX229VS1X6B6	0.50000	600000	2017-03-10 22:28:38	2017-03-10 22:36:19
A3D2SUT0WZXWH2	0.50000	600000	2017-03-14 04:15:18	2017-03-14 04:20:43
A3SX229VS1X6B6	0.50000	600000	2017-03-17 15:56:08	2017-03-17 15:56:24
A2U83S62P8SZ6T	0.50000	600000	2017-03-21 21:47:38	2017-03-21 21:47:58
A3SDFAOJW87FGP	0.50000	600000	2017-03-23 00:32:18	2017-03-23 00:34:10
AX06ZUCRNSGB3	0.15000	600000	2016-10-10 19:31:33	2016-10-10 19:32:26
A109CH3492UU42	0.50000	600000	2016-12-31 14:22:42	2016-12-31 14:22:53
A2EOOF9D135HQ1	0.50000	600000	2016-12-11 00:41:12	2016-12-11 00:41:22
ANN3SQMLKLP4X	0.50000	600000	2016-12-12 04:30:39	2016-12-12 04:32:31
A3SX229VS1X6B6	0.50000	600000	2017-03-02 00:32:29	2017-03-02 00:32:59
A3SX229VS1X6B6	0.50000	600000	2017-03-03 02:01:53	2017-03-03 02:02:14
A27GZN1JOOIAUW	0.50000	600000	2017-01-13 08:58:06	2017-01-13 08:58:22
A2V9QJ90P9WHXW	0.50000	600000	2017-02-09 02:00:59	2017-02-09 02:01:27
A2EOOF9D135HQ1	0.50000	600000	2017-02-10 19:09:16	2017-02-10 19:10:28
A13XXMDHOULEZ7	0.50000	600000	2017-02-20 07:13:31	2017-02-20 07:14:08
A3SX229VS1X6B6	0.50000	600000	2017-03-17 22:25:09	2017-03-17 22:25:42
A3SX229VS1X6B6	0.50000	600000	2017-03-20 20:12:29	2017-03-20 20:15:37
A3US3R22I0W1QE	0.15000	600000	2016-11-09 04:00:58	2016-11-09 04:17:46
AXLMOFXKXSU0B	0.50000	600000	2016-12-31 21:24:22	2016-12-31 21:32:36
A2JH77L6UDALI1	0.15000	600000	2016-11-14 06:12:15	2016-11-14 06:23:25
A2S70WW1VAPKK8	0.15000	600000	2016-12-02 02:36:12	2016-12-02 02:36:32
AXLMOFXKXSU0B	0.50000	600000	2016-12-13 22:06:40	2016-12-13 22:09:34
AXLMOFXKXSU0B	0.50000	600000	2016-12-15 15:44:11	2016-12-15 15:46:36
AA0QKSSEQ0B6Q	0.50000	600000	2017-03-01 22:46:49	2017-03-01 22:50:45
A2TY9UFU76QU6K	0.50000	600000	2017-03-04 05:43:35	2017-03-04 05:44:00
A2EOOF9D135HQ1	0.50000	600000	2017-03-05 18:04:57	2017-03-05 18:13:17
